DeviceId,DeviceType,Timestamp,location
D-1567,Aircraft,31-08-2022 10:05,L1
D-1567,Aircraft,31-08-2022 10:10,L1
D-1567,Aircraft,31-08-2022 10:15,L1
D-1567,Aircraft,31-08-2022 10:20,L1
D-1567,Aircraft,31-08-2022 10:25,L2
D-1568,Personal,31-08-2022 10:05,L3
D-1568,Personal,31-08-2022 10:10,L3
D-1568,Personal,31-08-2022 10:15,L3
D-1568,Personal,31-08-2022 10:20,L3
D-1568,Personal,31-08-2022 10:25,L3
D-1569,Asset,31-08-2022 10:15,L4
D-1569,Asset,31-08-2022 10:20,L4
D-1569,Asset,31-08-2022 10:25,L1
D-1569,Asset,31-08-2022 10:30,L1
D-1569,Asset,31-08-2022 10:35,L2
D-1570,Personal,31-08-2022 10:35,L5
D-1571,Asset,31-08-2022 10:35,L6
